# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
320 0.447815 0.447203 0.446973 1.34199
321 0.450494 0.449878 0.44965 1.35002
322 0.453181 0.45256 0.452333 1.35807
323 0.455875 0.45525 0.455024 1.36615
324 0.458576 0.457947 0.457723 1.37425
325 0.461285 0.460651 0.460429 1.38236
326 0.464001 0.463362 0.463142 1.3905
327 0.466724 0.46608 0.465862 1.39867
328 0.469455 0.468806 0.46859 1.40685
329 0.472193 0.471539 0.471325 1.41506
330 0.474938 0.474279 0.474067 1.42328
331 0.477691 0.477026 0.476816 1.43153
332 0.480451 0.479781 0.479573 1.4398
333 0.483218 0.482542 0.482337 1.4481
334 0.485993 0.485311 0.485108 1.45641
335 0.488775 0.488087 0.487887 1.46475
336 0.491564 0.490871 0.490673 1.47311
337 0.49436 0.493661 0.493466 1.48149
338 0.497164 0.496459 0.496266 1.48989
339 0.499975 0.499264 0.499073 1.49831
340 0.502793 0.502076 0.501888 1.50676
341 0.505619 0.504895 0.50471 1.51522
342 0.508452 0.507721 0.507539 1.52371
343 0.511292 0.510555 0.510375 1.53222
344 0.514139 0.513396 0.513219 1.54075
345 0.516994 0.516244 0.51607 1.54931
346 0.519855 0.519099 0.518928 1.55788
347 0.522724 0.521961 0.521793 1.56648
348 0.525601 0.524831 0.524666 1.5751
349 0.528484 0.527707 0.527545 1.58374
350 0.531375 0.530591 0.530432 1.5924
351 0.534273 0.533482 0.533326 1.60108
352 0.537178 0.536381 0.536227 1.60979
353 0.54009 0.539286 0.539136 1.61851
354 0.54301 0.542199 0.542052 1.62726
355 0.545936 0.545119 0.544974 1.63603
356 0.54887 0.548046 0.547904 1.64482
357 0.551811 0.550981 0.550842 1.65363
358 0.554759 0.553922 0.553786 1.66247
359 0.557715 0.556871 0.556738 1.67132
360 0.560677 0.559827 0.559696 1.6802
361 0.563647 0.56279 0.562662 1.6891
362 0.566623 0.56576 0.565635 1.69802
363 0.569607 0.568738 0.568616 1.70696
364 0.572598 0.571722 0.571603 1.71592
365 0.575597 0.574714 0.574597 1.72491
366 0.578602 0.577713 0.577599 1.73391
367 0.581614 0.580719 0.580608 1.74294
368 0.584634 0.583733 0.583624 1.75199
369 0.587661 0.586753 0.586647 1.76106
370 0.590694 0.58978 0.589677 1.77015
371 0.593735 0.592815 0.592714 1.77926
372 0.596783 0.595857 0.595759 1.7884
373 0.599838 0.598906 0.59881 1.79755
374 0.6029 0.601961 0.601868 1.80673
375 0.605969 0.605024 0.604934 1.81593
376 0.609045 0.608094 0.608007 1.82515
377 0.612129 0.611171 0.611086 1.83439
378 0.615219 0.614256 0.614173 1.84365
379 0.618316 0.617347 0.617266 1.85293
380 0.621421 0.620445 0.620367 1.86223
381 0.624532 0.62355 0.623475 1.87156
382 0.62765 0.626662 0.626589 1.8809
383 0.630775 0.629781 0.629711 1.89027
384 0.633908 0.632907 0.63284 1.89965
385 0.637047 0.636041 0.635975 1.90906
386 0.640193 0.639181 0.639118 1.91849
387 0.643347 0.642328 0.642267 1.92794
388 0.646507 0.645482 0.645424 1.93741
389 0.649674 0.648643 0.648587 1.9469
390 0.652848 0.65181 0.651758 1.95642
391 0.656029 0.654985 0.654935 1.96595
392 0.659217 0.658167 0.658119 1.9755
393 0.662412 0.661356 0.661311 1.98508
394 0.665614 0.664551 0.664509 1.99467
395 0.668823 0.667754 0.667714 2.00429
396 0.672039 0.670963 0.670926 2.01393
397 0.675261 0.67418 0.674145 2.02359
398 0.678491 0.677403 0.677372 2.03327
399 0.681727 0.680633 0.680605 2.04296
400 0.684971 0.68387 0.683845 2.05269
401 0.688221 0.687114 0.687091 2.06243
402 0.691478 0.690365 0.690345 2.07219
403 0.694742 0.693622 0.693606 2.08197
404 0.698013 0.696887 0.696874 2.09177
405 0.701291 0.700158 0.700148 2.1016
406 0.704576 0.703436 0.70343 2.11144
407 0.707868 0.706722 0.706718 2.12131
408 0.711167 0.710014 0.710013 2.13119
409 0.714473 0.713313 0.713316 2.1411
410 0.717785 0.716618 0.716625 2.15103
411 0.721105 0.719931 0.719941 2.16098
412 0.724431 0.723251 0.723264 2.17095
413 0.727764 0.726577 0.726594 2.18094
414 0.731105 0.72991 0.729931 2.19095
415 0.734452 0.73325 0.733274 2.20098
416 0.737806 0.736597 0.736625 2.21103
417 0.741166 0.739951 0.739982 2.2211
