# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
349 0.107232 0.107607 0.10725 0.32209
350 0.107554 0.107935 0.107576 0.323065
351 0.107876 0.108262 0.107901 0.324039
352 0.108199 0.108589 0.108227 0.325014
353 0.108521 0.108916 0.108552 0.325988
354 0.108843 0.109243 0.108877 0.326963
355 0.109165 0.109569 0.109203 0.327937
356 0.109488 0.109896 0.109528 0.328911
357 0.10981 0.110222 0.109853 0.329886
358 0.110132 0.110549 0.110179 0.33086
359 0.110455 0.110875 0.110504 0.331834
360 0.110778 0.111201 0.110829 0.332808
361 0.1111 0.111528 0.111155 0.333783
362 0.111423 0.111854 0.11148 0.334757
363 0.111746 0.11218 0.111805 0.335731
364 0.112069 0.112506 0.11213 0.336705
365 0.112392 0.112831 0.112455 0.337679
366 0.112715 0.113157 0.11278 0.338652
367 0.113038 0.113483 0.113105 0.339626
368 0.113361 0.113808 0.113431 0.3406
369 0.113684 0.114134 0.113756 0.341574
370 0.114007 0.11446 0.114081 0.342548
371 0.11433 0.114785 0.114406 0.343521
372 0.114654 0.115111 0.114731 0.344495
373 0.114977 0.115436 0.115056 0.345468
374 0.1153 0.115761 0.11538 0.346442
375 0.115623 0.116087 0.115705 0.347415
376 0.115946 0.116412 0.11603 0.348389
377 0.116269 0.116738 0.116355 0.349362
378 0.116593 0.117063 0.11668 0.350336
379 0.116916 0.117388 0.117005 0.351309
380 0.117239 0.117714 0.11733 0.352282
381 0.117562 0.118039 0.117654 0.353256
382 0.117885 0.118365 0.117979 0.354229
383 0.118208 0.11869 0.118304 0.355202
384 0.118532 0.119016 0.118629 0.356176
385 0.118855 0.119341 0.118953 0.357149
386 0.119178 0.119667 0.119278 0.358123
387 0.119501 0.119992 0.119603 0.359096
388 0.119825 0.120318 0.119928 0.36007
389 0.120148 0.120643 0.120252 0.361044
390 0.120471 0.120969 0.120577 0.362017
391 0.120795 0.121295 0.120902 0.362991
392 0.121118 0.121621 0.121226 0.363965
393 0.121441 0.121946 0.121551 0.364939
394 0.121765 0.122272 0.121876 0.365913
395 0.122088 0.122598 0.1222 0.366887
396 0.122412 0.122924 0.122525 0.367861
397 0.122736 0.12325 0.12285 0.368836
398 0.123059 0.123576 0.123175 0.36981
399 0.123383 0.123902 0.123499 0.370784
400 0.123707 0.124228 0.123824 0.371759
401 0.12403 0.124554 0.124149 0.372733
402 0.124354 0.12488 0.124474 0.373708
403 0.124678 0.125206 0.124798 0.374682
404 0.125002 0.125532 0.125123 0.375657
405 0.125326 0.125858 0.125448 0.376632
406 0.12565 0.126185 0.125773 0.377607
407 0.125973 0.126511 0.126097 0.378582
408 0.126297 0.126837 0.126422 0.379557
409 0.126621 0.127163 0.126747 0.380532
410 0.126945 0.127489 0.127072 0.381507
411 0.127269 0.127815 0.127397 0.382482
412 0.127593 0.128142 0.127722 0.383457
413 0.127917 0.128468 0.128047 0.384432
414 0.128241 0.128794 0.128372 0.385407
415 0.128565 0.12912 0.128697 0.386382
416 0.128889 0.129447 0.129022 0.387357
417 0.129212 0.129773 0.129347 0.388333
418 0.129536 0.130099 0.129672 0.389308
419 0.12986 0.130426 0.129998 0.390283
420 0.130184 0.130752 0.130323 0.391259
421 0.130508 0.131078 0.130648 0.392234
422 0.130832 0.131405 0.130974 0.39321
423 0.131155 0.131731 0.131299 0.394186
424 0.131479 0.132057 0.131625 0.395162
425 0.131803 0.132384 0.131951 0.396138
426 0.132127 0.13271 0.132276 0.397114
427 0.132451 0.133037 0.132602 0.39809
428 0.132775 0.133363 0.132928 0.399066
429 0.133099 0.133689 0.133254 0.400042
430 0.133423 0.134016 0.13358 0.401018
431 0.133746 0.134342 0.133906 0.401995
432 0.13407 0.134669 0.134232 0.402971
433 0.134394 0.134995 0.134558 0.403948
434 0.134718 0.135322 0.134884 0.404924
435 0.135042 0.135648 0.135211 0.405901
436 0.135367 0.135974 0.135537 0.406878
437 0.135691 0.136301 0.135863 0.407855
438 0.136015 0.136627 0.13619 0.408831
439 0.136339 0.136953 0.136516 0.409808
440 0.136663 0.13728 0.136843 0.410785
441 0.136988 0.137606 0.137169 0.411762
442 0.137312 0.137932 0.137496 0.412739
443 0.137636 0.138258 0.137822 0.413717
444 0.137961 0.138584 0.138149 0.414694
445 0.138285 0.13891 0.138476 0.415671
446 0.13861 0.139236 0.138803 0.416648
447 0.138934 0.139562 0.13913 0.417626
448 0.139259 0.139887 0.139457 0.418603
449 0.139583 0.140213 0.139784 0.419581
450 0.139908 0.140539 0.140111 0.420558
451 0.140233 0.140864 0.140439 0.421536
452 0.140557 0.14119 0.140766 0.422513
453 0.140882 0.141515 0.141094 0.423491
454 0.141207 0.14184 0.141421 0.424468
455 0.141532 0.142165 0.141749 0.425446
456 0.141857 0.142491 0.142076 0.426424
457 0.142182 0.142816 0.142404 0.427402
458 0.142507 0.143141 0.142732 0.428379
459 0.142832 0.143466 0.14306 0.429357
460 0.143157 0.143791 0.143388 0.430335
461 0.143482 0.144115 0.143716 0.431313
462 0.143807 0.14444 0.144044 0.432291
463 0.144132 0.144765 0.144372 0.433269
464 0.144457 0.14509 0.144701 0.434248
465 0.144782 0.145415 0.145029 0.435226
466 0.145108 0.145739 0.145357 0.436204
467 0.145433 0.146064 0.145686 0.437183
468 0.145758 0.146389 0.146014 0.438161
469 0.146083 0.146713 0.146343 0.439139
470 0.146409 0.147038 0.146671 0.440118
471 0.146734 0.147363 0.147 0.441096
472 0.147059 0.147688 0.147328 0.442075
473 0.147385 0.148012 0.147657 0.443054
474 0.14771 0.148337 0.147985 0.444033
475 0.148036 0.148662 0.148314 0.445011
476 0.148361 0.148986 0.148643 0.44599
477 0.148687 0.149311 0.148971 0.446969
478 0.149012 0.149636 0.1493 0.447948
479 0.149338 0.14996 0.149629 0.448927
480 0.149664 0.150285 0.149957 0.449906
481 0.14999 0.15061 0.150286 0.450885
482 0.150316 0.150934 0.150615 0.451865
483 0.150642 0.151259 0.150943 0.452844
484 0.150968 0.151583 0.151272 0.453823
485 0.151294 0.151908 0.1516 0.454802
486 0.15162 0.152232 0.151929 0.455781
487 0.151947 0.152557 0.152257 0.456761
488 0.152273 0.152881 0.152586 0.45774
489 0.152599 0.153205 0.152915 0.458719
490 0.152926 0.153529 0.153243 0.459698
491 0.153252 0.153853 0.153571 0.460677
492 0.153579 0.154178 0.1539 0.461657
493 0.153906 0.154502 0.154228 0.462636
494 0.154233 0.154826 0.154557 0.463615
495 0.154559 0.15515 0.154885 0.464594
496 0.154886 0.155474 0.155213 0.465574
497 0.155213 0.155798 0.155542 0.466553
498 0.15554 0.156122 0.15587 0.467532
499 0.155867 0.156446 0.156198 0.468512
500 0.156195 0.15677 0.156527 0.469491
501 0.156522 0.157094 0.156855 0.470471
502 0.156849 0.157418 0.157183 0.471451
503 0.157176 0.157743 0.157512 0.472431
504 0.157504 0.158067 0.15784 0.473411
505 0.157831 0.158391 0.158168 0.474391
506 0.158159 0.158716 0.158496 0.475371
507 0.158486 0.159041 0.158825 0.476351
508 0.158814 0.159365 0.159153 0.477332
509 0.159141 0.15969 0.159481 0.478313
510 0.159469 0.160015 0.159809 0.479293
511 0.159796 0.16034 0.160138 0.480274
512 0.160124 0.160665 0.160466 0.481256
513 0.160452 0.160991 0.160794 0.482237
514 0.160779 0.161316 0.161123 0.483218
515 0.161107 0.161642 0.161451 0.4842
516 0.161435 0.161967 0.16178 0.485182
517 0.161763 0.162293 0.162108 0.486164
518 0.162091 0.162619 0.162437 0.487146
519 0.162418 0.162945 0.162766 0.488129
520 0.162746 0.163271 0.163094 0.489111
521 0.163074 0.163597 0.163423 0.490094
522 0.163402 0.163924 0.163752 0.491077
523 0.16373 0.16425 0.164081 0.492061
524 0.164058 0.164576 0.16441 0.493044
525 0.164386 0.164903 0.164739 0.494028
526 0.164714 0.16523 0.165067 0.495011
527 0.165042 0.165557 0.165397 0.495995
528 0.16537 0.165883 0.165726 0.496979
529 0.165698 0.16621 0.166055 0.497964
530 0.166027 0.166537 0.166384 0.498948
531 0.166355 0.166864 0.166713 0.499933
532 0.166683 0.167192 0.167043 0.500917
533 0.167012 0.167519 0.167372 0.501902
534 0.16734 0.167846 0.167701 0.502887
535 0.167669 0.168173 0.168031 0.503872
536 0.167997 0.168501 0.16836 0.504858
537 0.168326 0.168828 0.16869 0.505843
538 0.168654 0.169155 0.169019 0.506829
539 0.168983 0.169483 0.169349 0.507815
540 0.169312 0.169811 0.169679 0.508801
541 0.169641 0.170138 0.170009 0.509788
542 0.16997 0.170466 0.170338 0.510774
543 0.170299 0.170794 0.170668 0.511761
544 0.170628 0.171122 0.170998 0.512748
545 0.170957 0.17145 0.171328 0.513735
546 0.171286 0.171778 0.171658 0.514722
547 0.171615 0.172106 0.171989 0.51571
548 0.171944 0.172434 0.172319 0.516698
549 0.172274 0.172763 0.172649 0.517686
550 0.172603 0.173091 0.172979 0.518674
551 0.172933 0.17342 0.17331 0.519662
552 0.173262 0.173749 0.17364 0.520651
553 0.173592 0.174078 0.173971 0.52164
554 0.173922 0.174407 0.174301 0.522629
555 0.174251 0.174736 0.174632 0.523619
556 0.174581 0.175065 0.174962 0.524609
557 0.174911 0.175395 0.175293 0.525599
558 0.175241 0.175724 0.175623 0.526589
559 0.175571 0.176054 0.175954 0.527579
560 0.175901 0.176384 0.176285 0.528569
561 0.176231 0.176714 0.176615 0.52956
562 0.176561 0.177044 0.176946 0.530551
