# Time-averaged data for fix avacf
# TimeStep c_vacf[1] c_vacf[2] c_vacf[3] c_vacf[4]
402 0.00330177 0.00486968 0.00439425 0.0125657
403 0.00328201 0.00506181 0.0046502 0.012994
404 0.00322885 0.00520744 0.00485841 0.0132947
405 0.00314221 0.00530454 0.0050157 0.0134624
406 0.00302215 0.00535155 0.00511937 0.0134931
407 0.00286884 0.00534738 0.00516729 0.0133835
408 0.0026825 0.00529135 0.00515792 0.0131318
409 0.00246347 0.00518324 0.00509031 0.012737
410 0.00221211 0.00502318 0.00496412 0.0121994
411 0.0019289 0.0048117 0.0047796 0.0115202
412 0.00161434 0.00454963 0.00453751 0.0107015
413 0.00126903 0.0042381 0.00423913 0.00974626
414 0.00089364 0.00387856 0.00388614 0.00865833
415 0.000488928 0.00347269 0.00348059 0.00744221
416 5.57785e-05 0.00302247 0.00302487 0.00610312
417 -0.000404797 0.0025301 0.00252162 0.00464692
418 -0.000891631 0.00199802 0.00197374 0.00308013
419 -0.00140337 0.0014289 0.00138434 0.00140986
420 -0.0019385 0.000825524 0.000756747 -0.000356232
421 -0.00249532 0.000190824 9.44516e-05 -0.00221005
422 -0.00307197 -0.000472201 -0.000598883 -0.00414305
423 -0.00366643 -0.0011605 -0.00131945 -0.00614637
424 -0.00427657 -0.00187101 -0.0020633 -0.00821088
425 -0.00490014 -0.00260066 -0.0028264 -0.0103272
426 -0.00553472 -0.00334638 -0.00360462 -0.0124857
427 -0.00617776 -0.00410506 -0.00439376 -0.0146766
428 -0.00682655 -0.00487351 -0.00518953 -0.0168896
429 -0.0074782 -0.00564847 -0.00598756 -0.0191142
430 -0.00812961 -0.00642652 -0.00678345 -0.0213396
431 -0.00877752 -0.00720413 -0.00757275 -0.0235544
432 -0.0094185 -0.00797756 -0.008351 -0.0257471
433 -0.0100489 -0.00874294 -0.00911374 -0.0279056
434 -0.0106651 -0.0094963 -0.00985659 -0.030018
435 -0.0112633 -0.0102336 -0.0105752 -0.0320721
436 -0.0118397 -0.0109508 -0.0112653 -0.0340559
437 -0.0123906 -0.011644 -0.0119229 -0.0359575
438 -0.0129123 -0.0123092 -0.0125441 -0.0377656
439 -0.0134014 -0.0129429 -0.0131251 -0.0394694
440 -0.0138545 -0.0135415 -0.0136625 -0.0410585
441 -0.0142686 -0.0141017 -0.0141531 -0.0425234
442 -0.0146409 -0.0146205 -0.0145939 -0.0438553
443 -0.0149689 -0.0150948 -0.0149825 -0.0450462
444 -0.0152504 -0.0155219 -0.0153166 -0.0460889
445 -0.0154834 -0.0158994 -0.0155943 -0.0469771
