# Time-averaged data for fix avacf
# TimeStep c_vacf[1] c_vacf[2] c_vacf[3] c_vacf[4]
528 0.786283 0.784779 0.785691 2.35675
529 0.785697 0.784185 0.785103 2.35498
530 0.78511 0.783594 0.784516 2.35322
531 0.784524 0.783006 0.783929 2.35146
532 0.783937 0.782419 0.783344 2.3497
533 0.783351 0.781835 0.782759 2.34795
534 0.782765 0.781253 0.782175 2.34619
535 0.78218 0.780672 0.781593 2.34444
536 0.781595 0.780094 0.781012 2.3427
537 0.78101 0.779516 0.780432 2.34096
538 0.780426 0.778941 0.779853 2.33922
539 0.779843 0.778366 0.779276 2.33748
540 0.779261 0.777793 0.7787 2.33575
541 0.77868 0.77722 0.778126 2.33403
542 0.778101 0.776649 0.777554 2.3323
543 0.777523 0.776079 0.776984 2.33059
544 0.776947 0.77551 0.776415 2.32887
545 0.776372 0.774943 0.775849 2.32716
546 0.775799 0.774376 0.775284 2.32546
547 0.775228 0.773811 0.774721 2.32376
548 0.774659 0.773248 0.77416 2.32207
549 0.774092 0.772685 0.7736 2.32038
550 0.773526 0.772124 0.773043 2.31869
551 0.772962 0.771564 0.772486 2.31701
552 0.7724 0.771006 0.771932 2.31534
553 0.771839 0.770448 0.771378 2.31367
554 0.77128 0.769891 0.770826 2.312
555 0.770722 0.769334 0.770275 2.31033
556 0.770164 0.768778 0.769724 2.30867
557 0.769608 0.768222 0.769174 2.307
558 0.769052 0.767665 0.768625 2.30534
559 0.768497 0.767108 0.768076 2.30368
560 0.767943 0.76655 0.767528 2.30202
561 0.767389 0.765991 0.76698 2.30036
562 0.766835 0.765431 0.766432 2.2987
563 0.766281 0.76487 0.765884 2.29704
564 0.765727 0.764308 0.765337 2.29537
565 0.765173 0.763744 0.764789 2.29371
566 0.764618 0.763179 0.764242 2.29204
567 0.764064 0.762613 0.763695 2.29037
568 0.76351 0.762046 0.763148 2.2887
569 0.762955 0.761478 0.762601 2.28703
570 0.7624 0.76091 0.762054 2.28536
571 0.761845 0.760341 0.761508 2.28369
572 0.761289 0.759772 0.760961 2.28202
573 0.760734 0.759203 0.760415 2.28035
574 0.760178 0.758634 0.759868 2.27868
575 0.759623 0.758065 0.759322 2.27701
576 0.759068 0.757496 0.758776 2.27534
577 0.758514 0.756928 0.75823 2.27367
578 0.75796 0.756359 0.757684 2.272
579 0.757407 0.755792 0.757138 2.27034
580 0.756855 0.755224 0.756592 2.26867
581 0.756303 0.754658 0.756047 2.26701
582 0.755753 0.754092 0.755502 2.26535
583 0.755204 0.753526 0.754958 2.26369
584 0.754657 0.752962 0.754415 2.26203
585 0.75411 0.752398 0.753872 2.26038
586 0.753565 0.751835 0.753329 2.25873
587 0.75302 0.751273 0.752788 2.25708
588 0.752477 0.750711 0.752247 2.25544
589 0.751935 0.750151 0.751707 2.25379
590 0.751394 0.749592 0.751167 2.25215
591 0.750854 0.749033 0.750628 2.25051
592 0.750314 0.748476 0.750089 2.24888
593 0.749776 0.74792 0.749551 2.24725
594 0.749238 0.747364 0.749012 2.24561
595 0.748701 0.74681 0.748474 2.24398
596 0.748164 0.746256 0.747936 2.24236
597 0.747628 0.745704 0.747398 2.24073
598 0.747092 0.745152 0.746859 2.2391
599 0.746556 0.744601 0.74632 2.23748
600 0.746021 0.744051 0.745781 2.23585
601 0.745486 0.743502 0.745241 2.23423
602 0.74495 0.742954 0.7447 2.2326
603 0.744415 0.742407 0.744159 2.23098
604 0.74388 0.74186 0.743617 2.22936
605 0.743345 0.741313 0.743074 2.22773
606 0.74281 0.740768 0.74253 2.22611
607 0.742275 0.740222 0.741986 2.22448
608 0.741741 0.739677 0.741441 2.22286
609 0.741207 0.739132 0.740897 2.22124
610 0.740674 0.738587 0.740352 2.21961
611 0.740141 0.738042 0.739808 2.21799
612 0.739609 0.737497 0.739265 2.21637
613 0.739078 0.736952 0.738722 2.21475
614 0.738547 0.736406 0.73818 2.21313
615 0.738017 0.735861 0.737639 2.21152
616 0.737488 0.735316 0.737099 2.2099
617 0.736959 0.734771 0.736559 2.20829
618 0.73643 0.734226 0.736021 2.20668
619 0.7359 0.73368 0.735484 2.20506
620 0.735371 0.733135 0.734947 2.20345
621 0.734842 0.732589 0.734412 2.20184
622 0.734312 0.732044 0.733877 2.20023
623 0.733781 0.731498 0.733343 2.19862
624 0.733249 0.730952 0.732809 2.19701
625 0.732716 0.730407 0.732276 2.1954
626 0.732183 0.729861 0.731744 2.19379
